allez,alez
accroupisse,acroupisse
accroitrait,acroitrait
accroîtrait,acroitrait
accroitront,acroitront
accroîtront,acroitront
accrurent,acrurent
accréditaient,acréditaient
acculent,aculent
acculera,aculera
accumulerez,acumulerez
accusions,acusions
accusèrent,acusèrent
accéderait,accèderait
acquittant,acquitant
acquitterai,acquiterai
acquittions,acquitions
acrylonitrile,acrilonitrile
additionnée,aditionée
adhéraient,adéraient
adhérait,adérait
adonnez,adonez
affadisse,afadisse
affairaient,afairaient
affairait,afairait
affaissaient,afaissaient
affaissant,afaissant
affalait,afalait
affalant,afalant
affalent,afalent
affamaient,afamaient
affamera,afamera
affecteriez,afecteriez
affectiez,afectiez
affectionnez,afectionez
affermie,afermie
affermissant,afermissant
affermissent,afermissent
affichaient,afichaient
afficherait,aficherait
affinent,afinent
affinerait,afinerait
affinons,afinons
affinée,afinée
affirmerait,afirmerait
affirmeras,afirmeras
affirmerez,afirmerez
affirmeriez,afirmeriez
affirmèrent,afirmèrent
affleuraient,afleuraient
affleurent,afleurent
affligeaient,afligeaient
affligeait,afligeait
affligèrent,afligèrent
afflueraient,aflueraient
affolaient,afolaient
affolerais,afolerais
affoleront,afoleront
affoliez,afoliez
affranchissais,afranchissais
affranchisse,afranchisse
affriole,afriole
affriolerait,afriolerait
affronteraient,afronteraient
affublant,afublant
affuterai,afuterai
affûterai,afuterai
affutez,afutez
affûtez,afutez
aguerrira,aguérira
aguerrit,aguérit
ahane,aane
ahou,aou
albanophone,albanofone
aliénerez,aliènerez
allaitent,alaitent
allia,alia
alliait,aliait
allongeraient,alongeraient
allongions,alongions
allumai,alumai
allumions,alumions
allât,alât
allègent,alègent
allègue,alègue
alléché,aléché
allégeaient,alégeaient
alléguée,aléguée
alphabétisé,alfabétisé
aluette,aluète
ambitionnent,ambitionent
aminophylline,aminofiline
amollissent,amolissent
amollit,amolit
analyserait,analiserait
analysions,analisions
analysèrent,analisèrent
anesthésient,anestésient
anesthésierai,anestésierai
ankylosée,ankilosée
annihilant,aniilant
annihilez,aniilez
annihilons,aniilons
annotée,anotée
annulèrent,anulèrent
anthropologiquement,antropologiquement
anthropomorphiser,antropomorfiser
anticholinergique,anticolinergique
antiterrorisme,antiterorisme
antédiluvienne,antédiluviène
aphrodite,afrodite
apparaitrions,aparaitrions
apparaîtrions,aparaitrions
apparaitrons,aparaitrons
apparaîtrons,aparaitrons
appareillent,apareillent
apparentaient,aparentaient
apparentant,aparentant
apparié,aparié
appartenues,apartenues
appartiendrons,apartiendrons
apparût,aparût
appelât,apelât
appends,apends
appesantissais,apesantissais
applaudisseur,aplaudisseur
appliqua,apliqua
appliquai,apliquai
apportions,aportions
apposa,aposa
apposait,aposait
apposant,aposant
apposeras,aposeras
apprivoisant,aprivoisant
apprivoisent,aprivoisent
apprivoisons,aprivoisons
approchâmes,aprochâmes
approfondirons,aprofondirons
approfondissait,aprofondissait
approfondissant,aprofondissant
approfondissent,aprofondissent
approfondissons,aprofondissons
approprierais,aproprierais
approuva,aprouva
approuveront,aprouveront
approuvions,aprouvions
approvisionnant,aprovisionant
approvisionnera,aprovisionera
approvisionniez,aprovisioniez
approvisionnée,aprovisionée
appréhendaient,apréendaient
appréhenderons,apréenderons
appréhensif,apréensif
apprêta,aprêta
apprêtai,aprêtai
apprît,aprît
appuierons,apuierons
appâtais,apâtais
appâtant,apâtant
appâtera,apâtera
appâtons,apâtons
araméenne,araméène
arguais,argüais
aristotélicienne,aristotéliciène
arrangeai,arangeai
arrangeraient,arangeraient
arrangiez,arangiez
arrangèrent,arangèrent
arrivâtes,arivâtes
arrogèrent,arogèrent
arrondirait,arondirait
arrondissant,arondissant
arroseront,aroseront
arrosèrent,arosèrent
arrêtâmes,arêtâmes
arthroplastie,artroplastie
asphalté,asfalté
asphyxiaient,asfixiaient
assaisonnait,assaisonait
assaisonne,assaisone
assiégera,assiègera
assoiffez,assoifez
assommeur,assomeur
assujettisse,assujétisse
athéiste,atéiste
atrophieraient,atrofieraient
attacherez,atacherez
attachions,atachions
attaquai,ataquai
attaqueur,ataqueur
attarda,atarda
attardaient,atardaient
attardions,atardions
attellent,atèlent
attèlent,atèlent
attelons,atelons
attelèrent,atelèrent
attendrirait,atendrirait
attendriras,atendriras
attendrisse,atendrisse
attentait,atentait
attenterait,atenterait
atterrissais,atérissais
atterrîmes,atérîmes
attestait,atestait
attestons,atestons
attireriez,atireriez
attisa,atisa
attisaient,atisaient
attisons,atisons
attrapage,atrapage
attribuai,atribuai
attribuerais,atribuerais
attrista,atrista
attristait,atristait
attristerait,atristerait
attristèrent,atristèrent
atténuait,aténuait
atténuons,aténuons
atténuée,aténuée
badigeonnerez,badigeonerez
bagarrerait,bagarerait
bagarrons,bagarons
ballottait,balotait
ballottent,balotent
ballottine,balotine
bambinette,bambinète
bandothèque,bandotèque
bannissant,banissant
baratté,baraté
barbette,barbète
barrerai,barerai
barri,bari
barricadèrent,baricadèrent
barrèrent,barèrent
bassette,bassète
bastonnent,bastonent
bathymètre,batimètre
batracienne,batraciène
battrions,batrions
bellissime,bélissime
bellot,bélot
benzylique,benzilique
besicles,bésicles
beurrait,beurait
beurrant,beurant
biberonnait,biberonait
biberonne,biberone
bidonnent,bidonent
bidonnera,bidonera
bidonnez,bidonez
bidonnée,bidonée
biffant,bifant
bihebdomadaires,biebdomadaires
biphényle,bifénile
blasphémaient,blasfémaient
blasphémant,blasfémant
blottirai,blotirai
blottissais,blotissais
blottissant,blotissant
blottisse,blotisse
bonni,boni
bottelé,botelé
botterons,boterons
bottiez,botiez
bougonnant,bougonant
bougonné,bougoné
bouillonnaient,bouillonaient
bouillonnais,bouillonais
boulle,boule
boulonne,boulone
boulonnée,boulonée
bourdonné,bourdoné
bourgeonnant,bourgeonant
bourrine,bourine
boursouffle,boursoufle
boutonnais,boutonais
boutonnant,boutonant
boutonnent,boutonent
boycotterai,boycoterai
brachiocéphalique,braquiocéfalique
braconnais,braconais
braconnait,braconait
braconnant,braconant
brûlai,brulai
brûleuse,bruleuse
brûlot,brulot
bullez,bulez
bâillonnait,bâillonait
bâillonnera,bâillonera
bâillonnons,bâillonons
bélître,bélitre
bétonnaient,bétonaient
bétonneurs,bétoneurs
bûchant,buchant
bûchent,buchent
cahotait,caotait
cahote,caote
cahotée,caotée
calligraphiez,caligrafiez
calligraphié,caligrafié
calotté,caloté
cantonnant,cantonant
cantonnons,cantonons
cantonnée,cantonée
carillonneuse,carilloneuse
carrelant,carelant
carrerais,carerais
carron,caron
caspiennes,caspiènes
catalysé,catalisé
cathexis,catexis
chamarrée,chamarée
chaperonnais,chaperonais
chaperonnait,chaperonait
chaperonnée,chaperonée
charriaient,chariaient
charrieras,charieras
charrieront,charieront
charrieurs,charieurs
charrions,charions
chatonne,chatone
chattons,chatons
chauffiez,chaufiez
chiffonnaient,chifonaient
chiffonnant,chifonant
chloroformez,cloroformez
chlorophytums,clorofitums
choppée,chopée
chorégraphiées,corégrafiées
chronométrait,cronométrait
chronophotographique,cronofotografique
chrysolithe,crisolite
cinématographiquement,cinématografiquement
claironné,claironé
cloche-pied,clochepied
cloisonne,cloisone
cloîtrant,cloitrant
cloîtrâmes,cloitrâmes
coactionnaires,coactionaires
cochenilles,cocheniles
cochonné,cochoné
cochonnée,cochonée
coffio,cofio
coffraient,cofraient
coffrerons,cofrerons
cohabitant,coabitant
coiffa,coifa
coifferait,coiferait
coifferont,coiferont
collaborai,colaborai
collaboreraient,colaboreraient
collapse,colapse
collapserait,colapserait
collationnés,colationés
collectez,colectez
collectionnaient,colectionaient
collectionnant,colectionant
collectivisée,colectivisée
collette,colète
collète,colète
collions,colions
commandai,comandai
commanderont,comanderont
commentent,comentent
commentera,comentera
commenterai,comenterai
commenterait,comenterait
commercialisera,comercialisera
commerciez,comerciez
commerçait,comerçait
commirent,comirent
commissionné,comissioné
commuent,comuent
communient,comunient
communiqueraient,comuniqueraient
commémorent,comémorent
commémorions,comémorions
commémoré,comémoré
commérait,comérait
comparaîtrait,comparaitrait
compléterait,complèterait
compléterez,complèterez
compléteront,complèteront
compromettrai,comprométrai
compromettrons,comprométrons
conceptuellement,conceptuèlement
concourrai,concourai
concourrait,concourait
concurrencé,concurencé
concéderait,concèderait
conditionnerons,conditionerons
conditionnons,conditionons
confectionnait,confectionait
confectionnerai,confectionerai
confectionnèrent,confectionèrent
confessionnel,confessionel
conférera,confèrera
conféreront,confèreront
congestionne,congestione
connectera,conectera
connectiez,conectiez
connectons,conectons
connûmes,conûmes
considérerions,considèrerions
consommerait,consomerait
continûment,continument
contorsionnent,contorsionent
contorsionné,contorsioné
coopéreraient,coopèreraient
coordonna,coordona
coordonnait,coordonait
coordonnerait,coordonerait
corelliens,coréliens
corrigea,corigea
corroborant,coroborant
corrode,corode
corrodée,corodée
corrompraient,corompraient
coryphène,corifène
cotonnerie,cotonerie
couillonnée,couillonée
couronnaient,couronaient
couronnait,couronait
couronnant,couronant
couronnera,couronera
couvre-pied,couvrepied
coûtée,coutée
cramponniez,cramponiez
cramponnons,cramponons
cristallise,cristalise
cristallisera,cristalisera
croîtrait,croitrait
cryonique,crionique
cryotechnique,criotecnique
cryptomère,criptomère
créolophone,créolofone
crésyl,crésil
cyanobactérie,cianobactérie
célébrerais,célèbrerais
céphaline,céfaline
dessellé,dessélé
desserra,desséra
desserrait,dessérait
desserrera,dessèrera
dessoûlée,dessoulée
dessécherait,dessècherait
dessécheront,dessècheront
dexaméthasone,dexamétasone
dialysé,dialisé
diffament,difament
diffuserai,difuserai
diffuserait,difuserait
différais,diférais
différenciaient,diférenciaient
différencierez,diférencierez
différerait,diffèrerait
différeront,diffèreront
digérera,digèrera
digérerait,digèrerait
disparaîtrions,disparaitrions
disproportionnelle,disproportionèle
distillant,distilant
diéthylénique,diétilénique
dribblez,driblez
dynamisera,dinamisera
dynamiserait,dinamiserait
dynamisez,dinamisez
dynamisé,dinamisé
dynamitant,dinamitant
dyscinésie,discinésie
déballonnerais,débalonerais
débarra,débara
débarrassa,débarassa
débatte,débate
débattiez,débatiez
débattions,débations
débattit,débatit
débattra,débatra
déboulonnez,déboulonez
déboulonné,débouloné
déboutonna,déboutona
déboutonnant,déboutonant
déboutonnent,déboutonent
déboîtaient,déboitaient
déboîtais,déboitais
déboîtement,déboitement
débraguetté,débraguété
déchaînais,déchainais
déchaînant,déchainant
déchiffrait,déchifrait
décoiffait,décoifait
décongestionné,décongestioné
déconnaient,déconaient
déconnant,déconant
déconnectaient,déconectaient
déconnectent,déconectent
décrottant,décrotant
décrotte,décrote
décréterai,décrèterai
décréterait,décrèterait
déculottait,déculotait
dédommagerez,dédomagerez
dégommait,dégomait
dégommant,dégomant
dégommerai,dégomerai
dégommons,dégomons
dégotterai,dégoterai
dégoutte,dégoute
délabyrinthez,délabirintez
démette,démète
démissionneraient,démissioneraient
démissionnerait,démissionerait
démystifié,démistifié
dénommait,dénomait
dénommez,dénomez
dépannaient,dépanaient
dépannait,dépanait
dépannent,dépanent
dépanneriez,dépaneriez
dépanneront,dépaneront
dépannons,dépanons
déphase,défase
déphaseurs,défaseurs
déprogrammez,déprogramez
déraisonnait,déraisonait
désappris,désapris
désapprouvant,désaprouvant
désapprouvera,désaprouvera
désapprouverez,désaprouverez
désapprouviez,désaprouviez
désapprouvée,désaprouvée
désenvoûté,désenvouté
déshabilla,désabilla
déshabillera,désabillera
déshabillerait,désabillerait
déshabilleriez,désabilleriez
déshonorera,désonorera
déshonorerait,désonorerait
déshumanise,désumanise
déshumanisée,désumanisée
déshydratais,désidratais
déshydratant,désidratant
déshérita,désérita
déshéritais,déséritais
déshériterai,désériterai
désinhibe,désinibe
désinstallé,désinstalé
désintellectualiser,désintélectualiser
désoxygénation,désoxigénation
désynchronisé,désincronisé
détalonner,détaloner
déterraient,détéraient
déterrerez,détèrerez
détonnent,détonent
développerez,déveloperez
développeront,déveloperont
déverrouillent,dévérouillent
dévotionnelle,dévotionèle
dîneur,dineur
dînâmes,dinâmes
ecchymosé,équimosé
eczémateuses,exémateuses
exémateux,exémateus
effacerions,éfacerions
effacions,éfacions
effare,éfare
effaçage,éfaçage
effectuions,éfectuions
effeuillant,éfeuillant
effeuillez,éfeuillez
effeuillé,éfeuillé
effeuillée,éfeuillée
effilent,éfilent
effilochait,éfilochait
effilochera,éfilochera
effleura,éfleura
effleurerait,éfleurerait
effondraient,éfondraient
efforcerait,éforcerait
efforçai,éforçai
effraieraient,éfraieraient
effrangé,éfrangé
effrayeras,éfrayeras
effrita,éfrita
effritaient,éfritaient
effulgente,éfulgente
einsteinienne,einsteiniène
emballerait,embalerait
emballerons,embalerons
embarrassaient,embarassaient
embarrure,embarure
embellirai,embélirai
embellissait,embélissait
emboîtaient,emboitaient
emboîterai,emboiterai
emboîtons,emboitons
empiffraient,empifraient
empiffrais,empifrais
empiffrant,empifrant
emplafonne,emplafone
empoisonna,empoisona
empoisonnerez,empoisonerez
empoissonné,empoissoné
emprisonnait,emprisonait
emprisonnèrent,emprisonèrent
enchaînant,enchainant
enchaînera,enchainera
enchaîneraient,enchaineraient
enchaînerez,enchainerez
enchaînèrent,enchainèrent
encroûtement,encroutement
encroûté,encrouté
endettait,endétait
endomorphe,endomorfe
endosquelette,endosquelète
enferre,enfère
enferrez,enférez
enferrons,enférons
enflammerait,enflamerait
enflammèrent,enflamèrent
engouffra,engoufra
engouffrai,engoufrai
enrhumez,enrumez
enrubanné,enrubané
enserraient,enséraient
enserrera,ensèrera
enterrai,entérai
enterrèrent,entérèrent
enthousiasmez,entousiasmez
entonnons,entonons
enveloppera,envelopera
envoûtait,envoutait
envoûteras,envouteras
errerons,èrerons
erreront,èreront
errèrent,érèrent
escher,escer
esclaffant,esclafant
espionnerions,espionerions
espérerait,espèrerait
essoufflais,essouflais
essoufflait,essouflait
essoufflent,essouflent
ethnobotaniste,etnobotaniste
exagérerons,exagèrerons
exaspérerait,exaspèrerait
excrétera,excrètera
excédera,excèdera
exeat,exéat
exhalent,exalent
exhaussé,exaussé
exhaussée,exaussée
exhibaient,exibaient
exhiberait,exiberait
exhibions,exibions
exhortait,exortait
exhortant,exortant
exhortent,exortent
exhumant,exumant
exonérera,exonèrera
fallût,falût
faustienne,faustiène
fedayin,fédayin
ferrai,férai
ferrant,férant
festonné,festoné
fissionner,fissioner
fissionné,fissioné
flagellait,flagélait
flemmardant,flémardant
flotta,flota
flotteront,floteront
flottèrent,flotèrent
flûtée,flutée
foisonneront,foisoneront
foufounette,foufounète
fractionnée,fractionée
frappions,frapions
fraîchir,fraichir
fraîchissent,fraichissent
fredonnerai,fredonerai
frictionnent,frictionent
frictionné,frictioné
fringillidé,fringilidé
frisotté,frisoté
frissonna,frissona
frissonnai,frissonai
frittés,frités
frotta,frota
frottai,frotai
frotterait,froterait
frottin,frotin
fusionnaient,fusionaient
fusionneraient,fusioneraient
fusionnerait,fusionerait
gaffent,gafent
galonnée,galonée
gapette,gapète
garrottent,garotent
garrottée,garotée
gentilhommières,gentilomières
gougnottes,gougnotes
gougoutte,gougoute
gouttait,goutait
gouttant,goutant
gouttera,goutera
goutterais,gouterais
graphophone,grafofone
grappillait,grapillait
grappillé,grapillé
gratterait,graterait
greffais,gréfais
greffant,gréfant
greffera,grèfera
grelottais,grelotais
grelotté,greloté
grisonnait,grisonait
grisonnent,grisonent
grisonné,grisoné
grommela,gromela
grommelaient,gromelaient
grommelait,gromelait
grommelle,gromèle
grommèle,gromèle
grommèlement,gromèlement
grommelé,gromelé
guetterez,guèterez
guettiez,guétiez
gueulette,gueulète
gyrus,girus
géothermale,géotermale
gérerez,gèrerez
géreriez,gèreriez
gîta,gita
habilleraient,abilleraient
habillions,abillions
habiteraient,abiteraient
habiterions,abiterions
habiteront,abiteront
habituant,abituant
hacheur,acheur
hachisch,achisch
hallucinons,alucinons
halva,alva
harmonisant,armonisant
harmonisent,armonisent
harmonisera,armonisera
harmonisez,armonisez
harmonisé,armonisé
harponnera,harponera
havanaise,avanaise
herpétologiste,erpétologiste
hiérarchiquement,iérarchiquement
hiérarchise,iérarchise
homologué,omologué
homologuée,omologuée
homéothermie,homéotermie
honnis,honis
honnit,honit
honoraient,onoraient
horripilent,oripilent
horripilée,oripilée
hospitaliserons,ospitaliserons
hotter,hoter
humanisant,umanisant
humilierait,umilierait
hybridé,ibridé
hydrophyte,idrofite
hydrox,hidrox
hyperplan,iperplan
hyperréactivité,ipéréactivité
hypocapnie,ipocapnie
hypomaniaques,ipomaniaques
hypothéquait,ipotéquait
hypothéquant,ipotéquant
héliporter,éliporter
hésitai,ésitai
hésitaient,ésitaient
idiosyncrasique,idiosincrasique
illumineront,ilumineront
illustraient,ilustraient
illustrera,ilustrera
illustrerai,ilustrerai
illustrerait,ilustrerait
immergeant,imergeant
immergerons,imergerons
immisçait,imisçait
immobilisant,imobilisant
immobilisent,imobilisent
immobiliserait,imobiliserait
immola,imola
immolée,imolée
immortalisa,imortalisa
immortaliseraient,imortaliseraient
immortalisez,imortalisez
impersonnaliser,impersonaliser
impressionna,impressiona
inappréciée,inapréciée
incoiffables,incoifables
incommodait,incomodait
indifféré,indiféré
indécollable,indécolable
inhospitalité,inospitalité
inhume,inume
innocentait,inocentait
innocenterai,inocenterai
inquiéteriez,inquièteriez
insufflée,insuflée
insérera,insèrera
insérerons,insèrerons
intercommunautaire,intercomunautaire
interconnectée,interconectée
interpellait,interpelait
interpréterait,interprèterait
interrogèrent,intérogèrent
interrompiez,intérompiez
interrompirent,intérompirent
interrompis,intérompis
intégrerais,intègrerais
irradiera,iradiera
irraisonnable,iraisonable
irrationnellement,irationèlement
irriguant,iriguant
irriguent,iriguent
irritaient,iritaient
irritera,iritera
irriterons,iriterons
isothermique,isotermique
jalonnaient,jalonaient
jalonne,jalone
jappant,japant
javellisée,javélisée
jeûna,jeuna
jeûneras,jeuneras
jeûnerons,jeunerons
jordanienne,jordaniène
judéenne,judéène
kidnapperas,kidnaperas
kidnappons,kidnapons
klaxonnera,klaxonera
larmichette,larmichète
lette,lète
leurrais,leurais
leurrent,leurent
libellée,libélée
libéreraient,libèreraient
libero,libéro
listeria,listéria
luddite,ludite
lynchait,linchait
lynchent,linchent
lynchiez,linchiez
lynchée,linchée
lyophilisant,liofilisant
lécherait,lècherait
lésionnaire,lésionaire
machinette,machinète
machino,maquino
maffiosi,mafiosi
mammoplastie,mamoplastie
mange-tout,mangetout
manoeuvrais,maneuvrais
manœuvrais,maneuvrais
manoeuvrons,maneuvrons
manœuvrons,maneuvrons
manoeuvrée,maneuvrée
manœuvrée,maneuvrée
maraîchère,maraichère
marmonniez,marmoniez
marmonnée,marmonée
marquette,marquète
martyrisait,martirisait
martyriserait,martiriserait
maîtrisa,maitrisa
maîtriserait,maitriserait
mentionnât,mentionât
michetonnais,michetonais
microcycles,microcicles
modéreras,modèreras
moissonnée,moissonée
mollette,molète
mollissait,molissait
monnaierai,monaierai
monnayait,monayait
monogrammées,monogramées
morcellera,morcèlera
mousqueterie,mousquèterie
moutonne,moutone
myocardique,miocardique
myoclonie,mioclonie
myopathique,miopatique
myste,miste
mystifiée,mistifiée
mâchonnait,mâchonait
mâchonne,mâchone
méconnaissent,méconaissent
médulla,médula
méphistophélique,méfistofélique
méprisamment,méprisament
mésomorphique,mésomorfique
métamorphosèrent,métamorfosèrent
méthacrylate,métacrilate
mûriraient,muriraient
nappée,napée
narrait,narait
narre,nare
nettoyable,nétoyable
nettoyèrent,nétoyèrent
nommions,nomions
norroise,noroise
nourriraient,nouriraient
nourririons,nouririons
nullissime,nulissime
obsessionnellement,obsessionèlement
occasionnent,ocasionent
occultait,ocultait
occultera,ocultera
occupai,ocupai
oenothera,eunotera
œnothera,eunotera
offenserai,ofenserai
offenserez,ofenserez
offenseront,ofenseront
officialisez,oficialisez
officient,oficient
officions,oficions
offrante,ofrante
offusqua,ofusqua
offusquais,ofusquais
offusquait,ofusquait
offusquent,ofusquent
offusquerait,ofusquerait
offusquerez,ofusquerez
omettent,omètent
omettiez,ométiez
omettrez,ométrez
opposeraient,oposeraient
oppositionnel,opositionel
opprimait,oprimait
ordonneront,ordoneront
ordonniez,ordoniez
ornithoptère,ornitoptère
orthographiées,ortografiées
ostéoarthrite,ostéoartrite
oursonne,oursone
ovationné,ovationé
oxygènent,oxigènent
pallient,palient
palliera,paliera
pallié,palié
panatella,panatéla
papillonnent,papillonent
paraffinée,parafinée
paralléliste,paraléliste
paralysaient,paralisaient
paralyserez,paraliserez
paraphrasant,parafrasant
parathyroïdienne,paratiroïdiène
parcourraient,parcouraient
parcourrait,parcourait
parcourront,parcouront
parrainant,parainant
parrainent,parainent
parrainerai,parainerai
passionna,passiona
passionnera,passionera
patronna,patrona
pelotonnaient,pelotonaient
perfectionnions,perfectionions
permettrions,permétrions
perquisitionnera,perquisitionera
persifflé,persiflé
personnalisez,personalisez
personnalisons,personalisons
persévérerait,persévèrerait
pharmaco,farmaco
philosophons,filosofons
photique,fotique
photocopient,fotocopient
photocopiera,fotocopiera
photocopierai,fotocopierai
photographiable,fotografiable
photographierait,fotografierait
photographierons,fotografierons
photographieront,fotografieront
phrénologiste,frénologiste
phénate,fénate
phénothiazine,fénotiazine
pilonnaient,pilonaient
pilonnait,pilonait
pilonnant,pilonant
pionne,pione
pionner,pioner
pistonnera,pistonera
pistonnerai,pistonerai
pistonnions,pistonions
piégerait,piègerait
piégeront,piègeront
plafonnée,plafonée
planelle,planèle
pleureux,pleureus
poinçonné,poinçoné
poinçonnée,poinçonée
polliniser,poliniser
pollinisé,polinisé
pollueront,polueront
polysaccarides,polisacarides
pomponnent,pomponent
pompéienne,pompéiène
ponctionne,ponctione
porte-crayon,portecrayon
positionneur,positioneur
postillonnant,postillonant
postillonneur,postilloneur
pouce-pied,poucepied
procéderiez,procèderiez
programma,programa
programmaient,programaient
programmait,programait
programmons,programons
proliférera,prolifèrera
promettriez,prométriez
promettront,prométront
proscenium,proscénium
prospéreraient,prospèreraient
précéderait,précèderait
prénommèrent,prénomèrent
préoccupa,préocupa
préoccuperaient,préocuperaient
préoccupâtes,préocupâtes
présupposent,présuposent
psychosexuel,psicosexuel
pullulaient,pululaient
pulluleront,pululeront
pyralène,piralène
pyrame,pirame
pyrex,pirex
pénétrerait,pénètrerait
pénétreront,pénètreront
quadridimensionnel,quadridimensionel
querellant,querélant
questionna,questiona
questionnai,questionai
questionnerons,questionerons
questionneront,questioneront
questionnons,questionons
quette,quète
quittât,quitât
rabattais,rabatais
rabattait,rabatait
rabattit,rabatit
raccommodait,racomodait
raccommodant,racomodant
raccommodions,racomodions
raccommodée,racomodée
raccompagna,racompagna
raccompagnerait,racompagnerait
raccordée,racordée
raccourcissait,racourcissait
raccourcisse,racourcisse
raccrochai,racrochai
raccrochaient,racrochaient
rackettez,rackétez
rackettons,rackétons
racketté,rackété
radiographiée,radiografiée
radiotéléphonique,radiotéléfonique
raffermi,rafermi
raffermie,rafermie
raffolaient,rafolaient
raffolant,rafolant
raffoleront,rafoleront
rafraîchirais,rafraichirais
rafraîchissent,rafraichissent
ragoûtante,ragoutante
raisonnait,raisonait
rallieraient,ralieraient
rallieront,ralieront
rallièrent,ralièrent
rallongeait,ralongeait
rallongerait,ralongerait
rallongée,ralongée
rallumage,ralumage
rallumait,ralumait
rallumant,ralumant
rallumerai,ralumerai
randonne,randone
randonnez,randonez
rançonnage,rançonage
rappelèrent,rapelèrent
rappliquaient,rapliquaient
rappliquerait,rapliquerait
rapportions,raportions
rapprochai,raprochai
rapprochions,raprochions
rationnez,rationez
rattrapiez,ratrapiez
rayonnera,rayonera
rebattent,rebatent
rebellant,rebélant
rebiffa,rebifa
rebifferai,rebiferai
rebiffée,rebifée
receleuse,recéleuse
recoiffait,recoifait
recoiffant,recoifant
recoiffent,recoifent
recommencerions,recomencerions
reconditionne,reconditione
reconditionnons,reconditionons
reconditionné,reconditioné
reconnussent,reconussent
reconnûmes,reconûmes
reconquerra,reconquéra
recyclait,reciclait
recyclerai,reciclerai
rediffusez,redifusez
redimensionner,redimensioner
redimensionnées,redimensionées
redonneraient,redoneraient
redonnerons,redonerons
redonniez,redoniez
redéconner,redéconer
redémarrais,redémarais
redémarrant,redémarant
redémarrera,redémarera
redémarrerait,redémarerait
refaçonner,refaçoner
refrapper,refraper
regrettaient,regrétaient
remballent,rembalent
rembarrais,rembarais
rembarrait,rembarait
rembourraient,rembouraient
rembourrait,rembourait
renaîtrai,renaitrai
renaîtrait,renaitrait
renettoyer,renétoyer
renommera,renomera
renouvellerai,renouvèlerai
renouvellerons,renouvèlerons
renverrions,renvérions
reparaîtra,reparaitra
repositionnez,repositionez
reprogrammant,reprogramant
repéreraient,repèreraient
repérerait,repèrerait
repérerons,repèrerons
resserrerai,ressèrerai
retransmettait,retransmétait
retransmettant,retransmétant
rhabillait,rabillait
rhabilliez,rabilliez
rhô,rô
rolle,role
ronchonnent,ronchonent
ronronnais,ronronais
ronronnante,ronronante
rotationnel,rotationel
réaffectait,réafectait
réaffectons,réafectons
réaffirmait,réafirmait
réaffirmation,réafirmation
réapparaissaient,réaparaissaient
réapparaissais,réaparaissais
réapparaissant,réaparaissant
réapparaitraient,réaparaitraient
réapparaîtraient,réaparaitraient
réapparaitront,réaparaitront
réapparaîtront,réaparaitront
réappeler,réapeler
réapprenait,réaprenait
réapprend,réaprend
réapprendrez,réaprendrez
réapprenne,réaprène
réapprit,réaprit
réapprovisionnée,réaprovisionée
réarrangeant,réarangeant
réarrangent,réarangent
réarrangé,réarangé
réattaquer,réataquer
réceptionnent,réceptionent
réceptionnera,réceptionera
réchappai,réchapai
réchapperais,réchaperais
réchappez,réchapez
réchauffa,réchaufa
réemballer,réembaler
réenterrer,réentérer
réentraîner,réentrainer
référera,réfèrera
référerez,réfèrerez
réglerions,règlerions
réhabilitera,réabilitera
réhydraté,réidraté
réinstalla,réinstala
réinstallent,réinstalent
réinstallez,réinstalez
réitérera,réitèrera
résonnèrent,résonèrent
réunionnite,réunionite
réveillonné,réveilloné
révolutionna,révolutiona
révolutionneront,révolutioneront
saccageait,sacageait
saccageraient,sacageraient
saccagiez,sacagiez
sanctionnant,sanctionant
sanctionnez,sanctionez
savonnait,savonait
savonnera,savonera
scannais,scanais
scanneront,scaneront
scelleront,scèleront
scellèrent,scélèrent
schizophasie,squizofasie
schnouff,schnouf
schnouffe,schnoufe
secourra,secoura
septaux,septaus
sermonnerai,sermonerai
serrai,sérai
serreront,sèreront
shrapnell,shrapnèl
siffloterai,sifloterai
sillonnée,sillonée
situationnel,situationel
siégerons,siègerons
snifferai,sniferai
sniffée,snifée
sollicita,solicita
sollicitait,solicitait
solutionnons,solutionons
somalienne,somaliène
sommait,somait
sommeillé,someillé
sommiez,somiez
sommée,somée
sonnai,sonai
sonnerez,sonerez
sonnât,sonât
soufflerez,souflerez
soumettais,soumétais
soumettions,soumétions
soumettrait,soumétrait
soupçonneriez,soupçoneriez
soupçonnèrent,soupçonèrent
soûlaud,soulaud
soûlèrent,soulèrent
spamming,spaming
sphériquement,sfériquement
splitter,spliter
squatteras,squateras
stationnant,stationant
stationnera,stationera
stoppait,stopait
stoppant,stopant
stopperiez,stoperiez
stoppions,stopions
stygien,stigien
stéréotyper,stéréotiper
subaiguë,subaigüe
subventionnant,subventionant
succomberai,sucomberai
succéderai,succèderai
succéderiez,succèderiez
suffisais,sufisais
suffisez,sufisez
suffoquant,sufoquant
suffoquerait,sufoquerait
suffoqueront,sufoqueront
suggestionné,suggestioné
suggérera,suggèrera
suggérerai,suggèrerai
supplantant,suplantant
suppliai,supliai
suppliciée,supliciée
supplieriez,suplieriez
suppléait,supléait
supportai,suportai
supposèrent,suposèrent
supputait,suputait
suraiguë,suraigüe
surchauffait,surchaufait
surchauffez,surchaufez
surdévelopper,surdèvelopper
surdéveloppée,surdèveloppée
