old,new
ébattent,ébatent
ébouriffait,ébourifait
échapperions,échaperions
échauffa,échaufa
échelonnent,échelonent
échocardiographie,écocardiografie
échographier,écografier
écoeurait,équeurait
écosphère,écosfère
égouttaient,égoutaient
égoutte,égoute
égouttent,égoutent
émettaient,émétaient
émiettent,émiètent
émiettez,émiétez
éperonnera,éperonera
éperonnez,éperonez
éphésiens,éfésiens
épiphysaire,épifisaire
époussettent,époussètent
équarri,équari
équatoriennes,équatoriènes
étalonné,étaloné
éthérique,étérique
étonnons,étonons
étoufferiez,étouferiez
étrennait,étrénait
étrennera,étrènera
étrennée,étrénée
abandonneurs,abandoneurs
abandonnâmes,abandonâmes
abandonnât,abandonât
abattions,abations
abattures,abatures
abonnai,abonai
abonnât,abonât
aboutonnai,aboutonai
absinthant,absintant
accablai,acablai
accableraient,acableraient
accablions,acablions
accablât,acablât
accablèrent,acablèrent
accalmit,acalmit
accaparaient,acaparaient
accaparerait,acaparerait
acclama,aclama
acclamant,aclamant
acclimata,aclimata
acclimatai,aclimatai
acclimaterait,aclimaterait
accointé,acointé
accola,acola
accolait,acolait
accole,acole
accolent,acolent
accommoda,acomoda
accommodai,acomodai
accommodaient,acomodaient
accommoderaient,acomoderaient
accommoderions,acomoderions
accommodions,acomodions
accommodons,acomodons
accommodât,acomodât
accompagneraient,acompagneraient
accompagnâmes,acompagnâmes
accompagnât,acompagnât
accompagnèrent,acompagnèrent
accomplissaient,acomplissaient
accomplît,acomplît
accordai,acordai
accordassent,acordassent
accordement,acordement
accorderaient,acorderaient
accordât,acordât
accostaient,acostaient
accostais,acostais
accota,acota
accotaient,acotaient
accotait,acotait
accotant,acotant
accote,acote
accotent,acotent
accotons,acotons
accotèrent,acotèrent
accoté,acoté
accotée,acotée
accouda,acouda
accoudai,acoudai
accoudaient,acoudaient
accoudait,acoudait
accoudant,acoudant
accoudions,acoudions
accoudons,acoudons
accoudèrent,acoudèrent
accouplais,acouplais
accouplerait,acouplerait
accouplèrent,acouplèrent
accourcissant,acourcissant
accourraient,acouraient
accourussent,acourussent
accourût,acourût
accoutre,acoutre
accoutrée,acoutrée
accoutuma,acoutuma
accoutumai,acoutumai
accoutumaient,acoutumaient
accoutumait,acoutumait
accoutumant,acoutumant
accoutument,acoutument
accoutumerait,acoutumerait
accouvée,acouvée
accrochai,acrochai
accrocheraient,acrocheraient
accrocheriez,acrocheriez
accrochât,acrochât
accroissait,acroissait
accroisse,acroisse
accroupirent,acroupirent
accroupissaient,acroupissaient
accroupissant,acroupissant
accroupissons,acroupissons
accrédita,acrédita
accréditait,acréditait
accréditant,acréditant
accrût,acrût
accu,acu
accueillaient,acueillaient
accueillît,acueillît
accula,acula
acculaient,aculaient
acculais,aculais
acculait,aculait
acculant,aculant
acculeraient,aculeraient
acculât,aculât
acculèrent,aculèrent
accumula,acumula
accumulai,acumulai
accumulèrent,acumulèrent
accuserions,acuserions
accusât,acusât
achoppa,achopa
achoppai,achopai
achoppaient,achopaient
achoppait,achopait
achoppe,achope
achoppé,achopé
achoppée,achopée
achélème,aquélème
acquitta,acquita
acquittai,acquitai
acquittaient,acquitaient
acquittât,acquitât
actionna,actiona
actionnai,actionai
actionnait,actionait
actionneront,actioneront
actionnât,actionât
additionnaient,aditionaient
additionnais,aditionais
additionnait,aditionait
additionnerait,aditionerait
admettraient,admétraient
adonna,adona
adonnai,adonai
adonnerait,adonerait
adonnions,adonions
adviennent,adviènent
affabulé,afabulé
affadi,afadi
affadie,afadie
affadissaient,afadissaient
affadissait,afadissait
affadit,afadit
affaiblissaient,afaiblissaient
affaiblissais,afaiblissais
affaira,afaira
affairai,afairai
affairant,afairant
affaireraient,afaireraient
affairions,afairions
affairons,afairons
affairèrent,afairèrent
affaissa,afaissa
affaisseraient,afaisseraient
affaisserait,afaisserait
affaissions,afaissions
affaissèrent,afaissèrent
affala,afala
affalai,afalai
affalaient,afalaient
affalons,afalons
affalèrent,afalèrent
affamantes,afamantes
affectai,afectai
affectassent,afectassent
affectionnaient,afectionaient
affectionnais,afectionais
affectionnant,afectionant
affectionnent,afectionent
affectâmes,afectâmes
affectât,afectât
affectèrent,afectèrent
affermissaient,afermissaient
affermissait,afermissait
affermisse,afermisse
afficha,aficha
affichions,afichions
affichât,afichât
affichèrent,afichèrent
affile,afile
affilia,afilia
affiliaient,afiliaient
affiliant,afiliant
affina,afina
affinaient,afinaient
affinait,afinait
affinant,afinant
affirmai,afirmai
affirmerai,afirmerai
affirmions,afirmions
affirmât,afirmât
affixé,afixé
afflanqué,aflanqué
affleura,afleura
affleurant,afleurant
affleurât,afleurât
affleurèrent,afleurèrent
affleuré,afleuré
afflua,aflua
affluentes,afluentes
affluèrent,afluèrent
affola,afola
affolai,afolai
affolât,afolât
affolèrent,afolèrent
affouillait,afouillait
affouillé,afouillé
affranchirait,afranchirait
affranchissait,afranchissait
affranchissant,afranchissant
affriandai,afriandai
affriandé,afriandé
affriolait,afriolait
affriolés,afriolés
affrontai,afrontai
affubla,afubla
affublait,afublait
affublerais,afublerais
affublerait,afublerait
affublons,afublons
affurait,afurait
affure,afure
affurer,afurer
affuré,afuré
affurée,afurée
affuta,afuta
affutait,afutait
affutant,afutant
affutât,afutât
agathe,agate
agrippai,agripai
agrippaient,agripaient
agrippions,agripions
agrippèrent,agripèrent
aguerrissait,aguérissait
ahana,aana
ahanaient,aanaient
ahanait,aanait
ahanant,aanant
ahanante,aanante
ahanement,aanement
ahanent,aanent
ahané,aané
aiguillonnaient,aiguillonaient
aiguillonnait,aiguillonait
aiguillonnant,aiguillonant
aiguillonnante,aiguillonante
aiguillonné,aiguilloné
aiguillonnée,aiguillonée
ajaccienne,ajacciène
alençonnais,alençonais
alençonnaise,alençonaise
allaiterait,alaiterait
allassent,alassent
allegretto,alegréto
alliât,aliât
allobarbital,alobarbital
allobroges,alobroges
allongerait,alongerait
allongeâmes,alongeâmes
allongeât,alongeât
allongèrent,alongèrent
alloua,aloua
allouait,alouait
allouant,alouant
allouerait,alouerait
allumeraient,alumeraient
allumoir,alumoir
allumâmes,alumâmes
allumât,alumât
allusionne,alusione
allèche,alèche
allécha,alécha
alléchait,aléchait
alléchée,aléchée
allégeais,alégeais
allégeait,alégeait
allégorisé,alégorisé
allégua,alégua
alléguaient,aléguaient
alléguais,aléguais
alléguait,aléguait
alléguera,aléguera
alsacienne,alsaciène
amarrai,amarai
amarraient,amaraient
amarrant,amarant
amarrent,amarent
ambitionnait,ambitionait
ambitionnant,ambitionant
ambitionnez,ambitionez
ambitionné,ambitioné
amidonnaient,amidonaient
amollie,amolie
amollirent,amolirent
amollissaient,amolissaient
amollissait,amolissait
amphitrite,anfitrite
américanophile,américanofile
anachroniquement,anacroniquement
anadyomène,anadiomène
analysa,analisa
anaphoriquement,anaforiquement
anathématisait,anatématisait
anathématisé,anatématisé
anatomophysiologique,anatomofisiologique
anchilops,anquilops
andorranes,andoranes
androgynique,androginique
anesthésia,anestésia
anesthésiaient,anestésiaient
anesthésiait,anestésiait
anhèle,anèle
ankylosait,ankilosait
annamite,anamite
annelets,anelets
annelures,anelures
annexa,anexa
annexaient,anexaient
annexait,anexait
annexèrent,anexèrent
annihila,aniila
annihilait,aniilait
annihilante,aniilante
annihilent,aniilent
annonceraient,anonceraient
annonçât,anonçât
annotais,anotais
annotait,anotait
annotant,anotant
annula,anula
annulai,anulai
anthropophagiques,antropofagiques
anthume,antume
anticatalyseurs,anticataliseurs
anticatholique,anticatolique
antidictatoriaux,antidictatoriaus
antihémorragiques,antiémoragiques
antimaçonniques,antimaçoniques
antinaturelle,antinaturèle
antiphysiques,antifisiques
antityphoïdique,antitifoïdique
aphaniptères,afaniptères
aphrodisie,afrodisie
apostropha,apostrofa
apostrophaient,apostrofaient
apostrophait,apostrofait
apostrophant,apostrofant
apostrophent,apostrofent
apostrophèrent,apostrofèrent
apostrophé,apostrofé
apostrophée,apostrofée
apothicairerie,apoticairerie
apparaissions,aparaissions
appareilla,apareilla
appareillaient,apareillaient
appareillait,apareillait
appareillant,apareillant
appareilleraient,apareilleraient
appareillions,apareillions
appariait,apariait
appariant,apariant
apparie,aparie
appariée,apariée
appartins,apartins
appartinssent,apartinssent
appartint,apartint
appartînt,apartînt
apparussent,aparussent
appauvrissaient,apauvrissaient
appauvrissait,apauvrissait
appauvrissant,apauvrissant
appauvrissante,apauvrissante
appauvrissions,apauvrissions
appauvrissons,apauvrissons
appeleur,apeleur
appendait,apendait
appendrait,apendrait
appendu,apendu
appendues,apendues
appert,apert
appesanti,apesanti
appesantie,apesantie
appesantissait,apesantissait
appesantissant,apesantissant
appesantit,apesantit
applaudirent,aplaudirent
applaudissions,aplaudissions
applaudîmes,aplaudîmes
applaudît,aplaudît
appliquasse,apliquasse
appliquassions,apliquassions
appliquions,apliquions
appliquât,apliquât
appliquèrent,apliquèrent
appointaient,apointaient
appointait,apointait
appointe,apointe
appointée,apointée
apportât,aportât
apposai,aposai
apposent,aposent
apposerait,aposerait
apposée,aposée
apprendrions,aprendrions
apprissent,aprissent
apprivoisa,aprivoisa
apprivoisaient,aprivoisaient
apprivoisais,aprivoisais
apprivoisait,aprivoisait
apprivoiseur,aprivoiseur
apprivoisèrent,aprivoisèrent
approchassent,aprochassent
approcherions,aprocherions
approchât,aprochât
approfondirai,aprofondirai
approfondirent,aprofondirent
approfondirions,aprofondirions
approfondissaient,aprofondissaient
approfondissais,aprofondissais
approfondît,aprofondît
appropriait,apropriait
approprieraient,aproprieraient
approprierait,aproprierait
approuvai,aprouvai
approuvâmes,aprouvâmes
approuvèrent,aprouvèrent
apprécia,aprécia
appréciions,apréciions
appréciât,apréciât
appréhendai,apréendai
appréhendions,apréendions
apprêterait,aprêterait
appuieraient,apuieraient
appuyâmes,apuyâmes
appuyât,apuyât
appâterait,apâterait
appâtée,apâtée
aquarellait,aquarélait
aquarellés,aquarélés
araucaniennes,araucaniènes
arcadienne,arcadiène
archiconnu,archiconu
archinulles,archinules
arlésienne,arlésiène
armadille,armadile
arrachions,arachions
arrachures,arachures
arrachât,arachât
arraisonnerons,araisonerons
arraisonnées,araisonées
arrangerions,arangerions
arrangeât,arangeât
arrima,arima
arrimais,arimais
arrimait,arimait
arrivassent,arivassent
arrogeaient,arogeaient
arrogeait,arogeait
arrogeant,arogeant
arrogée,arogée
arrondirent,arondirent
arrondissaient,arondissaient
arrosa,arosa
arroserais,aroserais
arroserez,aroserez
arrosiez,arosiez
arrosions,arosions
arrêtassent,arêtassent
arrêtât,arêtât
ascensionne,ascensione
asphyxia,asfixia
asphyxiait,asfixiait
asphyxiera,asfixiera
assaisonna,assaisona
assaisonnerait,assaisonerait
assaisonnèrent,assaisonèrent
assoiffent,assoifent
assomma,assoma
assommaient,assomaient
assommât,assomât
assujettiraient,assujétiraient
assujettissaient,assujétissaient
assujettissait,assujétissait
assujettissent,assujétissent
assujettit,assujétit
astrophore,astrofore
asturienne,asturiène
asymétriquement,asimétriquement
atrophiait,atrofiait
attabla,atabla
attablai,atablai
attablaient,atablaient
attablait,atablait
attablant,atablant
attable,atable
attablent,atablent
attablions,atablions
attablons,atablons
attablèrent,atablèrent
attacherions,atacherions
attachât,atachât
attaquâmes,ataquâmes
attaquât,ataquât
attardai,atardai
attardement,atardement
attarderaient,atarderaient
attarderont,atarderont
attardâmes,atardâmes
attardât,atardât
attardèrent,atardèrent
atteignissent,ateignissent
atteignît,ateignît
attelai,atelai
attelaient,atelaient
attelant,atelant
attelions,atelions
attèlera,atèlera
attèlerais,atèlerais
attelâmes,atelâmes
attendisse,atendisse
attendissent,atendissent
attendrissaient,atendrissaient
attendrissais,atendrissais
attendrissons,atendrissons
attendît,atendît
attenta,atenta
attentais,atentais
attenterai,atenterai
atterraient,atéraient
atterrait,atérait
atterrèrent,atérèrent
atterrît,atérît
attesta,atesta
attestaient,atestaient
attestèrent,atestèrent
attifa,atifa
attifait,atifait
attifant,atifant
attife,atife
attifiaux,atifiaus
attige,atige
attigeait,atigeait
attigent,atigent
attigés,atigés
attirai,atirai
attirât,atirât
attisant,atisant
attisera,atisera
attisoir,atisoir
attiédi,atiédi
attiédie,atiédie
attiédissait,atiédissait
attouchant,atouchant
attrapai,atrapai
attribuaient,atribuaient
attribueraient,atribueraient
attribuions,atribuions
attribuâmes,atribuâmes
attribuât,atribuât
attriquait,atriquait
attriquant,atriquant
attrique,atrique
attriquent,atriquent
attriquer,atriquer
attriquerait,atriquerait
attriqué,atriqué
attriquée,atriquée
attristai,atristai
attristaient,atristaient
attristent,atristent
attristât,atristât
attroupa,atroupa
attroupait,atroupait
attroupent,atroupent
attrouperaient,atrouperaient
attroupèrent,atroupèrent
attroupé,atroupé
attroupée,atroupée
atténua,aténua
atténuaient,aténuaient
atténueraient,aténueraient
atténuât,aténuât
atténuèrent,aténuèrent
auloffée,aulofée
auréomycine,auréomicine
authentifiait,autentifiait
authentifient,autentifient
authentifierait,autentifierait
authentiquant,autentiquant
autobiographe,autobiografe
autolysat,autolisat
autosuggestionna,autosuggestiona
auxdits,ausdits
avignonnais,avignonais
avignonnaise,avignonaise
babélienne,babéliène
badigeonna,badigeona
badigeonnaient,badigeonaient
badigeonnait,badigeonait
badigeonnant,badigeonant
badigeonnions,badigeonions
badigeonnèrent,badigeonèrent
badigeonnée,badigeonée
baffés,bafés
bagottaient,bagotaient
bagottais,bagotais
bagotte,bagote
bagotter,bagoter
ballonnaient,balonaient
ballonnant,balonant
ballonnante,balonante
ballonnent,balonent
ballottaient,balotaient
ballottant,balotant
ballottèrent,balotèrent
balluche,baluche
balluchonnage,baluchonage
balluchonné,baluchoné
baluchonnage,baluchonage
baluchonne,baluchone
baluchonnent,baluchonent
baluchonner,baluchoner
baluchonneur,baluchoneur
baluchonné,baluchoné
balzacienne,balzaciène
bannissaient,banissaient
bannissait,banissait
barattait,baratait
barattant,baratant
barattent,baratent
baronnait,baronait
baronner,baroner
baronnez,baronez
barrai,barai
barreaudées,bareaudées
barricada,baricada
barricadai,baricadai
barricadaient,baricadaient
barricadait,baricadait
barricaderait,baricaderait
barricadier,baricadier
barricadières,baricadières
barrissait,barissait
barrissent,barissent
barriste,bariste
barrésien,barésien
barytonnant,baritonant
barytonner,baritoner
bastionnée,bastionée
bataillonnaire,bataillonaire
battoires,batoires
battîmes,batîmes
battît,batît
baudelairiennes,baudelairiènes
beauceronne,beaucerone
bedonne,bedone
belliqueusement,béliqueusement
belotte,belote
berdouillette,berdouillète
beurra,beura
beurrage,beurage
beurraient,beuraient
biberonneurs,biberoneurs
biberonné,biberoné
bibliophilique,bibliofilique
bichonnant,bichonant
bicycliste,bicicliste
bicéphalie,bicéfalie
bidonnaient,bidonaient
bidonnait,bidonait
bidonne,bidone
bienheureusement,bieneureusement
bienheureuses,bieneureuses
biffa,bifa
biffaient,bifaient
biffais,bifais
bigophoné,bigofoné
bihoreau,bioreau
bisette,bisète
blasonnait,blasonait
blasonné,blasoné
blasonnée,blasonée
blasphéma,blasféma
blasphémais,blasfémais
blettissait,blétissait
blottirait,blotirait
blottirent,blotirent
blottissaient,blotissaient
blottissement,blotissement
blottissions,blotissions
boissonnée,boissonée
bombinette,bombinète
bonneter,boneter
bonnir,bonir
bonnisse,bonisse
bonnissent,bonissent
bonnit,bonit
boscotte,boscote
botta,bota
bottai,botai
bottaient,botaient
bottèlent,botèlent
bottelées,botelées
botticellienne,boticéliène
bottiné,botiné
bouchonna,bouchona
bouchonnaient,bouchonaient
bouchonnait,bouchonait
bouchonnant,bouchonant
bouchonneras,bouchoneras
bouffonna,boufona
bouffonnait,boufonait
bouffonnant,boufonant
bouffonnante,boufonante
bougonna,bougona
bougonnaient,bougonaient
bougonnais,bougonais
bougonnait,bougonait
bougonnent,bougonent
bouillonneux,bouilloneus
bouillonnèrent,bouillonèrent
bouillonnée,bouillonée
bouillottait,bouillotait
boulonnais,boulonais
boulonnait,boulonait
boulonnant,boulonant
boulottait,boulotait
boulottées,boulotées
bourdonna,bourdona
bourdonnais,bourdonais
bourgeonnaient,bourgeonaient
bourgeonneraient,bourgeoneraient
bourgeonneuse,bourgeoneuse
bourra,boura
bourrai,bourai
bourrelé,bourelé
bourrelée,bourelée
bourreur,boureur
bourrier,bourier
bourriquait,bouriquait
bourrèrent,bourèrent
boursoufflaient,boursouflaient
boursoufflait,boursouflait
bouthéon,boutéon
boutonna,boutona
boutonnaient,boutonaient
boutonnait,boutonait
boutonnerait,boutonerait
boycotteront,boycoteront
brabançonne,brabançone
breneux,breneus
brigandeaux,brigandeaus
brinqueballant,brinquebalant
brinqueballé,brinquebalé
brouetta,brouéta
brouettait,brouétait
brouillardeux,brouillardeus
brouillonné,brouilloné
brusquette,brusquète
bucéphales,bucéfales
buissonne,buissone
buissonner,buissoner
bulla,bula
buttèrent,butèrent
byronien,bironien
bytures,bitures
bâillonna,bâillona
bâillonnant,bâillonant
bâillonnent,bâillonent
bâtonnée,bâtonée
béquilleux,béquilleus
bérullienne,béruliène
bétonnée,bétonée
bucheronne,bucherone
bucheronner,bucheroner
cabanettes,cabanètes
cabrette,cabrète
cachetonnais,cachetonais
cachetonnait,cachetonait
cafouilleux,cafouilleus
cahors,caors
cahota,caota
cahotent,caotent
cahotons,caotons
cahotèrent,caotèrent
cahoté,caoté
caleçonnade,caleçonade
caller,caler
calligraphiais,caligrafiais
calligraphiait,caligrafiait
calligraphiant,caligrafiant
calligraphient,caligrafient
calligraphiquement,caligrafiquement
calligraphiée,caligrafiée
calottais,calotais
calottées,calotées
camionnée,camionée
campanelles,campanèles
canetille,canetile
cannait,canait
cannant,canant
canneraient,caneraient
canonnait,canonait
canonné,canoné
canonnées,canonées
canthare,cantare
cantonna,cantona
cantonnai,cantonai
cantonnait,cantonait
cantonnent,cantonent
cantonneraient,cantoneraient
cantonnèrent,cantonèrent
canzonettes,canzonètes
caparaçonnait,caparaçonait
caparaçonne,caparaçone
caparaçonné,caparaçoné
caparaçonnée,caparaçonée
capitonnaient,capitonaient
capitonnait,capitonait
capuchonnés,capuchonés
carillonnaient,carillonaient
carillonnait,carillonait
carillonnant,carillonant
carillonne,carillone
carillonné,carilloné
carillonnées,carillonées
carottait,carotait
carottent,carotent
carotterait,caroterait
carra,cara
carraient,caraient
carrais,carais
carrait,carait
carrant,carant
carrelait,carelait
carrent,carent
cartographient,cartografient
cartonnant,cartonant
casquettés,casquétés
castagnette,castagnète
cataphotes,catafotes
catastropha,catastrofa
catastrophait,catastrofait
catastrophiquement,catastrofiquement
catholiquement,catoliquement
cauchemardeux,cauchemardeus
cautionnait,cautionait
cautionnée,cautionée
cavillonne,cavillone
cellulairement,célulairement
celluliteux,céluliteus
cercleux,cercleus
chalonnaises,chalonaises
champignonnaient,champignonaient
champignonnait,champignonait
champignonne,champignone
champignonnent,champignonent
chantonna,chantona
chantonnai,chantonai
chantonnaient,chantonaient
chantonnante,chantonante
chantonnèrent,chantonèrent
chantonnée,chantonée
chaotiquement,caotiquement
chappe,chape
charbonnaient,charbonaient
charbonnait,charbonait
charbonne,charbone
charbonnent,charbonent
charbonnette,charbonète
charbonné,charboné
charbonnées,charbonées
charmilles,charmiles
charrierons,charierons
charrièrent,charièrent
charronnées,charonées
charruée,charuée
chaudronné,chaudroné
chauffa,chaufa
chauffions,chaufions
chauffâmes,chaufâmes
chauffèrent,chaufèrent
chaussetrappe,chaussetrape
cherres,chères
chiennasse,chiénasse
chiffonna,chifona
chiffrait,chifrait
chloroformant,cloroformant
chouettement,chouètement
chroniquais,croniquais
chroniquer,croniquer
chronométrions,cronométrions
chrysostome,crisostome
chthoniennes,ctoniènes
chtourbe,ctourbe
churrigueresque,churigueresque
châlonnais,châlonais
cicéronienne,cicéroniène
cinname,ciname
citronnez,citronez
claironna,clairona
claironnait,claironait
claironnions,claironions
clapette,clapète
clappait,clapait
clappant,clapant
clappe,clape
clathres,clatres
claudélienne,claudéliène
clayonnée,clayonée
clilles,cliles
cloisonnaient,cloisonaient
cloisonnais,cloisonais
cloisonnant,cloisonant
cochonnez,cochonez
coffiot,cofiot
cohabita,coabita
cohabitait,coabitait
coiffaient,coifaient
coiffât,coifât
coiffèrent,coifèrent
collabora,colabora
collaborions,colaborions
collai,colai
collectionna,colectiona
collectionnions,colectionions
colletage,coletage
colletin,coletin
colloquant,coloquant
colloqué,coloqué
colloquée,coloquée
collèrent,colèrent
colombelle,colombèle
combattrait,combatrait
combette,combète
commandât,comandât
commandèrent,comandèrent
commentai,comentai
commentaient,comentaient
commentait,comentait
commentions,comentions
commençât,començât
commerçons,comerçons
commettions,cométions
commotionnerait,comotionerait
commuais,comuais
commuant,comuant
communia,comunia
communiaient,comuniaient
communiasse,comuniasse
communierons,comunierons
communieront,comunieront
communiqua,comuniqua
communiquai,comuniquai
communiquassent,comuniquassent
communiquerait,comuniquerait
communiquât,comuniquât
communiquèrent,comuniquèrent
communisée,comunisée
communièrent,comunièrent
commémorait,comémorait
commît,comît
compagnonnes,compagnones
concetto,concéto
concourront,concouront
concurrencée,concurencée
concurrençait,concurençait
condottieri,condotieri
confectionna,confectiona
confectionnai,confectionai
confectionnaient,confectionaient
confectionnerait,confectionerait
confectionnions,confectionions
confectionnâmes,confectionâmes
confectionnât,confectionât
confraternellement,confraternèlement
confucéenne,confucéène
congestionnaient,congestionaient
congestionnait,congestionait
connils,conils
connusse,conusse
connussent,conussent
connût,conût
conoïdaux,conoïdaus
consommai,consomai
consommions,consomions
constellaient,constélaient
constellait,constélait
constellant,constélant
constelle,constèle
constellent,constèlent
contorsionna,contorsiona
contorsionnaient,contorsionaient
contorsionnait,contorsionait
contorsionnant,contorsionant
contorsionnée,contorsionée
contrecarraient,contrecaraient
contrecarrais,contrecarais
contrecollé,contrecolé
contretypés,contretipés
conventuellement,conventuèlement
convoiteux,convoiteus
convulsionne,convulsione
convulsionnée,convulsionée
coordonnons,coordonons
coquilleux,coquilleus
corrector,corector
correspondrai,corespondrai
correspondît,corespondît
corrigeai,corigeai
corrigeaient,corigeaient
corrigions,corigions
corrobora,corobora
corroborèrent,coroborèrent
corrodait,corodait
corrodent,corodent
corrompis,corompis
corréziennes,corréziènes
coryste,coriste
cotonnait,cotonait
cotonnant,cotonant
couillettes,couillètes
couillonnent,couillonent
courrouçaient,courouçaient
courrouçait,courouçait
crachoteux,crachoteus
crampette,crampète
cramponna,crampona
cramponnaient,cramponaient
cramponnant,cramponant
cramponnent,cramponent
craonnais,craonais
craonnaise,craonaise
crayonna,crayona
crayonnant,crayonant
crayonneur,crayoneur
crayonnez,crayonez
crayonné,crayoné
crayonnées,crayonées
cristallisaient,cristalisaient
cristallisait,cristalisait
cristallisèrent,cristalisèrent
crottait,crotait
croupionne,croupione
croutonnais,croutonais
crésylée,crésilée
cuissette,cuissète
cunnilinctus,cunilinctus
curricula,curicula
cyclées,ciclées
cylindré,cilindré
cynos,cinos
cyprinidé,ciprinidé
cyrard,cirard
célinienne,céliniène
cévadille,cévadile
dalinienne,daliniène
dallé,dalé
dallée,dalée
danubienne,danubiène
dardillonnaient,dardillonaient
dardillonne,dardillone
daronne,darone
dauphinat,daufinat
descella,descéla
descellant,descélant
descellez,descélez
dessellées,dessélées
desserrai,dessérai
desserraient,desséraient
desserrant,dessérant
desserreraient,dessèreraient
desserrerait,dessèrerait
desserrât,dessérât
desserrèrent,dessérèrent
diaphragma,diafragma
diffamait,difamait
diffractent,difractent
diffractée,difractée
diffusa,difusa
diffuseraient,difuseraient
diffusèrent,difusèrent
différa,diféra
différant,diférant
différenciables,diférenciables
différenciais,diférenciais
différenciant,diférenciant
différencieront,diférencieront
différenciée,diférenciée
différions,diférions
différât,diférât
différèrent,diférèrent
dijonnais,dijonais
dindonne,dindone
dindonné,dindoné
dioclétienne,dioclétiène
diskette,diskète
distillaient,distilaient
distillait,distilait
distillera,distilera
distilleront,distileront
dolichocéphalie,dolicocéfalie
donnassent,donassent
donnâmes,donâmes
droppant,dropant
droppe,drope
dynamisée,dinamisée
dynamitait,dinamitait
déballa,débala
déballai,débalai
déballaient,débalaient
déballonnage,débalonage
déballonneront,débaloneront
déballonné,débaloné
déballèrent,débalèrent
débarrassai,débarassai
débarrassât,débarassât
débarrons,débarons
débattirent,débatirent
débattis,débatis
débattraient,débatraient
débattît,débatît
débiffé,débifé
débottelons,débotelons
déboulonnant,déboulonant
déboulonnée,déboulonée
débourre,déboure
débourrent,débourent
débourré,débouré
débourrée,débourée
déboutonnât,déboutonât
débraguette,débraguète
débraguettent,débraguètent
débâillonné,débâilloné
décalotta,décalota
décalotté,décaloté
décalottée,décalotée
décapuchonna,décapuchona
décapuchonne,décapuchone
décapuchonnèrent,décapuchonèrent
décarrade,décarade
décarraient,décaraient
décarrais,décarais
décarrait,décarait
décarrant,décarant
décarrent,décarent
décarrerait,décarerait
décarré,décaré
décervelle,décervèle
déchiffra,déchifra
déchiffrai,déchifrai
déchiffraient,déchifraient
déchiffrions,déchifrions
déchiffrâmes,déchifrâmes
déchiffrèrent,déchifrèrent
décloisonnée,décloisonée
décoconne,décocone
décoconnerai,décoconerai
décoffrés,décofrés
décoiffa,décoifa
décoifferais,décoiferais
décoifferait,décoiferait
décolla,décola
décollai,décolai
décollèrent,décolèrent
décommanda,décomanda
décommandai,décomandai
décommandait,décomandait
décommanderait,décomanderait
décongestionne,décongestione
déconnectant,déconectant
déconophone,déconofone
découronné,découroné
décramponner,décramponer
décrottait,décrotait
décrottions,décrotions
décrottée,décrotée
décrottés,décrotés
décryptai,décriptai
déculotta,déculota
déculottant,déculotant
déculottera,déculotera
dédommagent,dédomagent
dédommagerait,dédomagerait
dédommagerons,dédomagerons
défectionnaires,défectionaires
déferré,déféré
dégomment,dégoment
dégottera,dégotera
dégotterait,dégoterait
dégouttaient,dégoutaient
dégriffe,dégrife
dégriffeur,dégrifeur
déhotte,déhote
déhotté,déhoté
déhottée,déhotée
démarrai,démarai
démarrions,démarions
démarrât,démarât
démarrèrent,démarèrent
démenotte,démenote
démettrait,démétrait
démissionnaient,démissionaient
démographiquement,démografiquement
démythifie,démitifie
démythifié,démitifié
dénommaient,dénomaient
dénomment,dénoment
dépassionnons,dépassionons
dépersonnalisée,dépersonalisée
désabonna,désabona
désaccorda,désacorda
désaccordaient,désacordaient
désaccordent,désacordent
désaccoutuma,désacoutuma
désappointait,désapointait
désapprenais,désaprenais
désapprenant,désaprenant
désapprenne,désaprène
désapprirent,désaprirent
désapprit,désaprit
désapprouva,désaprouva
désapprouvât,désaprouvât
désarçonna,désarçona
désarçonnaient,désarçonaient
désarçonnait,désarçonait
désaveux,désaveus
désempenné,désempéné
désempierraient,désempiéraient
déshabillai,désabillai
déshabillerons,désabillerons
déshabillèrent,désabillèrent
déshabitué,désabitué
déshabituées,désabituées
déshabité,désabité
déshabitée,désabitée
désharmonie,désarmonie
désherbait,déserbait
désherbe,déserbe
désherbée,déserbée
désheuraient,déseuraient
déshonoraient,désonoraient
déshonorait,désonorait
déshumanisé,désumanisé
désillusionné,désilusioné
désoccupés,désocupés
désoeuvre,déseuvre
désordonne,désordone
désordonnément,désordonément
déterrais,détérais
déterrerait,détèrerait
détonna,détona
détonnaient,détonaient
développai,dévelopai
développât,dévelopât
déverrouilla,dévérouilla
déverrouillait,dévérouillait
ecchymosée,équimosée
edwardienne,edwardiène
effacèrent,éfacèrent
effara,éfara
effaraient,éfaraient
effarait,éfarait
effaroucha,éfaroucha
effarouchaient,éfarouchaient
effarouchait,éfarouchait
effarouchant,éfarouchant
effarouchâmes,éfarouchâmes
effarouchât,éfarouchât
effarèrent,éfarèrent
effaçai,éfaçai
effaçassent,éfaçassent
effaçât,éfaçât
effectivité,éfectivité
effectuai,éfectuai
effectuerait,éfectuerait
effeuilla,éfeuilla
effeuillaient,éfeuillaient
effeuillait,éfeuillait
effeuille,éfeuille
